STORENAME,street_numb,STREET_ADD,address_combined,CITY,ST,ZIP,COUNTY,TYPE,SNAP
KENNEDY BUTTER & EGGS,13,MERRIMACK ST,13 MERRIMACK ST,LOWELL,MA,1852,MIDDLESEX,SG,Yes
BROOKS PHARMACY 870,13,WEST MAIN ST,13 WEST MAIN ST,DUDLEY,MA,1570,WORCESTER,CO,Yes
C & L CONVENIENCE STORE,13,LEWIS STREET,13 LEWIS STREET,LYNN,MA,1902,ESSEX,CS,Yes
LA SEGUNDA FOOD CORP,13,CABOT ST,13 CABOT ST,HOLYOKE,MA,1040,HAMPDEN,SM,Yes
BROOKS PHARMACY 887,13,TAUNTON AV,13 TAUNTON AV,PLAINVILLE,MA,2762,NORFOLK,CO,Yes
Ruiz Market,14,Breed St,14 Breed St,E Boston,MA,2128,SUFFOLK,SG,Yes
Kajal Newstand,14,Front St,14 Front St,Worcester,MA,1608,WORCESTER,CS,Yes
CHRISTYS OF CAPE COD LLC 612,14,EAST MAIN STREET,14 EAST MAIN STREET,WEST YARMOUTH,MA,2673,BARNSTABLE,CS,Yes
BROOKS PHARMACY 571,14,MCGRATH HWY,14 MCGRATH HWY,SOMERVILLE,MA,2143,MIDDLESEX,CO,Yes
WALGREENS 05810,14,JACKSON ST,14 JACKSON ST,METHUEN,MA,1844,ESSEX,CO,Yes
SHAW'S SUPERMARKET 7580/547,14,MCGRATH HWY,14 MCGRATH HWY,SOMERVILLE,MA,2143,MIDDLESEX,SS,Yes
STORE 24 87,14,MAVERICK SQUARE,14 MAVERICK SQUARE,E BOSTON,MA,2128,SUFFOLK,MG,Yes
SHAW'S SUPERMARKET 7624/169,14,W BOYLSTON ST,14 W BOYLSTON ST,WORCESTER,MA,1605,WORCESTER,SS,Yes
WILLOW TREE MARKET,15,CHARLES ST,15 CHARLES ST,HYANNIS,MA,2601,BARNSTABLE,CO,Yes
PERALTA'S MARKET,15,HEALY ST,15 HEALY ST,INDIAN ORCHARD,MA,1151,HAMPDEN,CS,Yes
Central Street Market,15,Central St,15 Central St,Hudson,MA,1749,MIDDLESEX,MG,Yes
North Beacon Market,15,North Beacon St,15 North Beacon St,Allston,MA,2134,SUFFOLK,CS,Yes
Whole Foods Market 10015,15,Washington St,15 Washington St,Brighton,MA,2135,SUFFOLK,SS,Yes
WHOLE FOOD MARKET 10031,15,WESTLAND AVE,15 WESTLAND AVE,BOSTON,MA,2115,SUFFOLK,SS,Yes
